,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,num-replicates,best-fitness-so-far
0,1,10,17,0.6900000000000001,0.8200000000000001,6.7,0.68,0.15,0.1,10,0.3187755970789206
1,1,20,11,0.49,0.76,7.1,0.37,0.75,0.04,10,0.3638773091232586
2,1,60,22,0.4,0.52,7.6,0.47,0.9,0.51,10,0.3953688718723466
3,1,190,27,0.61,0.61,8.1,0.6,0.04,0.55,10,0.4197093310727503
4,1,260,27,0.55,0.55,7.7,0.34,0.05,0.97,10,0.4215389830746835
5,1,380,29,0.34,0.54,5.4,0.24,0.33,0.23,10,0.4268951228912918
6,1,420,14,0.65,0.61,9.7,0.16,0.01,0.09,10,0.4513730959121532
7,1,590,27,0.61,0.5700000000000001,8.5,0.3,0.08,0.26,10,0.4518602494692817
8,1,810,18,0.55,0.61,9.8,0.16,0.01,0.09,10,0.4524712956800097
9,1,970,27,0.61,0.5700000000000001,8.5,0.8200000000000001,0.08,0.21,10,0.4654313960955115
10,2,10,11,0.46,0.97,9.3,0.97,0.38,0.97,10,0.1966864111596454
11,2,30,5,0.86,0.93,6.2,0.0,0.6,0.14,10,0.2024963691651519
12,2,40,8,1.0,0.3,6.2,0.78,0.41,0.09,10,0.2808491982643709
13,2,50,19,0.0,0.71,9.3,0.8300000000000001,0.67,0.52,10,0.3925293909265834
14,2,320,15,0.9,0.51,5.0,0.65,0.55,0.8,10,0.3927305529306575
15,2,340,9,0.55,0.66,7.4,0.76,0.18,0.84,10,0.415301518701944
16,2,450,21,0.35,0.7000000000000001,7.5,0.63,0.04,0.95,10,0.4185607524881304
17,2,500,22,0.58,0.54,6.4,0.96,0.52,0.59,10,0.4474312891390007
18,3,10,14,0.78,0.71,9.3,0.37,0.74,0.81,10,0.3534610948724909
19,3,70,17,0.75,0.59,6.5,0.04,0.04,0.92,10,0.3957000584124001
20,3,180,18,0.62,0.5,8.0,0.71,0.79,0.81,10,0.406976559722753
21,3,230,21,0.41,0.56,7.800000000000001,0.33,0.3,0.28,10,0.4298244673866797
22,3,800,18,0.3,0.6,9.3,0.43,0.5,0.9,10,0.4306700794052556
23,3,1000,23,0.3,0.6,9.3,0.44,0.53,0.59,10,0.4331618787343321
24,3,1100,23,0.67,0.64,7.300000000000001,1.0,0.38,0.01,10,0.4489522953878609
25,4,10,5,0.81,0.6,8.9,0.47,0.86,0.85,10,0.4257725665962262
26,4,100,9,0.95,0.5,8.1,0.99,0.02,0.22,10,0.4631927281497182
27,5,10,14,0.33,0.95,8.1,0.38,0.11,0.64,10,0.1889450272533619
28,5,20,12,0.89,0.8300000000000001,8.5,0.6900000000000001,0.19,0.2,10,0.3354664338167168
29,5,40,21,0.55,0.74,9.3,0.97,0.59,0.31,10,0.3723871125398431
30,5,50,20,0.04,0.72,7.4,0.39,0.04,0.25,10,0.3787989134121857
31,5,70,5,0.51,0.56,7.7,0.23,0.56,0.6900000000000001,10,0.4241204690822739
32,5,210,27,0.62,0.59,7.0,0.02,0.84,0.41,10,0.4298909805304473
33,5,230,9,0.81,0.63,8.4,0.31,0.07,0.96,10,0.4315502559059423
34,5,350,12,0.21,0.54,9.8,0.76,0.94,0.04,10,0.4338345306720776
35,5,680,28,0.62,0.59,7.0,0.02,0.84,0.41,10,0.4356655945179249
36,6,10,14,0.97,0.49,9.8,0.25,0.93,0.97,10,0.3982989157486228
37,6,200,18,0.68,0.55,9.3,0.27,0.42,0.86,10,0.4291179021506696
38,6,230,9,0.79,0.52,6.4,0.63,0.71,0.35,10,0.4338663694376931
39,6,630,23,0.67,0.61,6.0,0.23,0.86,0.5,10,0.4400298326143462
40,6,1430,20,0.87,0.68,7.9,0.6900000000000001,0.04,0.0,10,0.45195786141136
41,7,10,14,0.78,0.35,6.2,0.8200000000000001,0.92,0.14,10,0.3437800352947199
42,7,20,25,0.79,0.8200000000000001,6.6,0.86,0.19,0.35,10,0.3521280119113187
43,7,70,18,0.98,0.64,9.3,0.23,0.16,0.8300000000000001,10,0.3943557733348772
44,7,100,14,0.55,0.67,7.4,0.87,0.71,0.03,10,0.402207492453649
45,7,250,8,0.33,0.6,5.9,0.97,0.23,0.96,10,0.4274624214107784
46,7,430,13,0.56,0.58,8.2,0.76,0.52,0.09,10,0.4520890640974179
47,7,570,12,0.6900000000000001,0.62,8.1,0.86,0.3,0.35,10,0.4545723378291642
48,7,1090,13,0.68,0.62,9.4,0.95,0.71,0.02,10,0.4546642141681513
49,7,1120,30,0.22,0.56,8.8,0.86,0.07,0.27,10,0.4710148670740633
50,8,10,21,0.52,0.32,5.9,0.31,0.33,0.24,10,0.2986815378144895
51,8,20,24,0.43,0.41,5.8,0.34,0.89,0.65,10,0.312249457268175
52,8,60,19,0.1,0.74,6.6,0.34,0.42,0.64,10,0.3585204910442719
53,8,100,9,0.12,0.67,8.6,0.42,0.19,0.9,10,0.403024058601506
54,8,160,9,0.67,0.5,9.3,0.09,0.37,0.97,10,0.414084072383393
55,8,310,5,0.71,0.54,9.2,0.32,0.89,0.99,10,0.421051302227158
56,8,610,22,0.61,0.51,9.6,0.38,0.12,0.15,10,0.4547201353346822
57,9,10,22,0.53,0.5700000000000001,5.5,0.79,0.99,0.08,10,0.4158799832802149
58,9,100,6,0.27,0.56,7.300000000000001,0.8,0.01,0.64,10,0.4334323167918009
59,9,560,27,0.01,0.55,7.7,0.97,0.28,0.08,10,0.4502721804799723
60,10,10,26,0.96,0.47,7.6,0.56,0.3,0.54,10,0.3654287179322275
61,10,30,19,0.77,0.49,10.0,0.15,0.4,0.33,10,0.4008710949015207
62,10,60,25,1.0,0.67,5.1,0.34,0.67,0.84,10,0.4206617747568194
63,10,350,25,0.35,0.55,9.6,0.15,0.0,0.5700000000000001,10,0.4254209437457719
