,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,num-replicates,best-fitness-so-far
0,1,1400,14,0.65,0.61,9.7,0.16,0.01,0.09,10,0.4513730959121532
1,2,1460,22,0.58,0.54,6.4,0.96,0.52,0.59,10,0.4474312891390007
2,3,1410,21,0.41,0.56,7.800000000000001,0.33,0.3,0.28,10,0.4298244673866797
3,4,1370,9,0.95,0.5,8.1,0.99,0.02,0.22,10,0.4631927281497182
4,5,1410,27,0.62,0.59,7.0,0.02,0.84,0.41,10,0.4298909805304473
5,6,1440,20,0.87,0.68,7.9,0.6900000000000001,0.04,0.0,10,0.45195786141136
6,7,1450,30,0.22,0.56,8.8,0.86,0.07,0.27,10,0.4710148670740633
7,8,1410,22,0.61,0.51,9.6,0.38,0.12,0.15,10,0.4547201353346822
8,9,1390,27,0.01,0.55,7.7,0.97,0.28,0.08,10,0.4502721804799723
9,10,1350,9,0.43,0.59,9.0,0.97,0.46,0.0,10,0.4556985343951033
