,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
0,1,10,17,0.6900000000000001,0.8200000000000001,6.7,0.68,0.15,0.1,0.3187755970789206,10,0.3187755970789206
1,1,20,11,0.49,0.76,7.1,0.37,0.75,0.04,0.3638773091232586,10,0.3638773091232586
2,1,30,9,0.2,0.5,5.7,0.11,0.04,0.71,0.3444427854137186,10,0.3638773091232586
3,1,40,19,0.64,0.09,6.3,0.2,0.33,0.9,0.1413840336074825,10,0.3638773091232586
4,1,50,5,0.3,0.27,6.0,0.76,0.39,0.64,0.2380898130921402,10,0.3638773091232586
5,1,60,22,0.4,0.52,7.6,0.47,0.9,0.51,0.3953688718723466,10,0.3953688718723466
6,1,70,8,0.99,0.34,7.800000000000001,0.68,0.14,0.94,0.2722376905641063,10,0.3953688718723466
7,1,80,5,0.91,0.11,6.2,0.4,0.97,0.23,0.1306265669870005,10,0.3953688718723466
8,1,90,30,0.37,0.66,6.1,0.2,0.07,0.26,0.3586982576585052,10,0.3953688718723466
9,1,100,18,0.81,0.06,7.0,0.38,0.19,0.92,0.1204111081208139,10,0.3953688718723466
10,1,110,14,0.64,0.86,8.9,0.45,0.3,0.8200000000000001,0.2828854065357869,10,0.3953688718723466
11,1,120,7,0.59,0.37,10.0,0.22,0.47,0.07,0.3155710683009098,10,0.3953688718723466
12,1,130,23,0.13,0.39,8.6,0.43,0.44,0.08,0.3175799645046619,10,0.3953688718723466
13,1,140,27,0.45,0.77,7.4,0.64,0.07,0.3,0.386805783283592,10,0.3953688718723466
14,1,150,10,0.96,0.0,5.3,0.04,0.24,0.84,0.0962657673431104,10,0.3953688718723466
15,1,160,9,0.54,0.36,9.5,0.34,0.16,0.99,0.3125318908754856,10,0.3953688718723466
16,1,170,20,0.3,0.2,9.4,0.0,0.3,0.8300000000000001,0.19331171503464,10,0.3953688718723466
17,1,180,14,0.92,0.35,5.7,0.6900000000000001,0.93,0.23,0.2920556875733743,10,0.3953688718723466
18,1,190,27,0.61,0.61,8.1,0.6,0.04,0.55,0.4197093310727503,10,0.4197093310727503
19,1,200,13,0.9,0.06,7.800000000000001,0.49,0.45,0.52,0.1149570826312158,10,0.4197093310727503
20,1,210,23,0.59,0.95,7.4,0.89,0.96,0.75,0.1952017616044654,10,0.4197093310727503
21,1,220,9,0.24,0.95,6.2,0.05,0.94,0.11,0.1954283029960446,10,0.4197093310727503
22,1,230,5,0.79,0.22,7.6,0.8,0.79,0.53,0.2304757233415199,10,0.4197093310727503
23,1,240,9,0.8,0.94,8.8,0.9,0.2,0.56,0.216028093944894,10,0.4197093310727503
24,1,250,11,0.65,0.52,9.3,0.84,0.64,0.47,0.4002892279351817,10,0.4197093310727503
25,1,260,27,0.55,0.55,7.7,0.34,0.05,0.97,0.4215389830746835,10,0.4215389830746835
26,1,270,13,0.89,0.73,9.3,0.67,0.0,0.21,0.3988964083387384,10,0.4215389830746835
27,1,280,30,0.06,0.13,7.2,0.79,0.75,0.22,0.1430018072391017,10,0.4215389830746835
28,1,290,15,0.49,0.6,7.9,0.94,0.8200000000000001,0.26,0.3963720794530121,10,0.4215389830746835
29,1,300,16,0.07,0.89,6.0,0.5,0.32,0.91,0.2304802719015211,10,0.4215389830746835
30,1,310,14,0.96,0.96,9.3,0.13,0.26,0.85,0.1743917091571032,10,0.4215389830746835
31,1,320,24,0.28,0.81,8.6,0.41,0.76,0.31,0.329334097691114,10,0.4215389830746835
32,1,330,20,0.35,0.49,9.7,0.49,0.54,0.76,0.3973552527929983,10,0.4215389830746835
33,1,340,11,0.39,0.8,5.2,0.95,0.71,0.9,0.3325244397443821,10,0.4215389830746835
34,1,350,7,0.21,0.94,6.5,0.8300000000000001,0.33,0.0,0.193206541771722,10,0.4215389830746835
