,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,num-replicates,best-fitness-so-far
0,1,10,17,0.6900000000000001,0.8200000000000001,6.7,0.68,0.15,0.1,10,0.2631691920841527
1,1,20,11,0.49,0.76,7.1,0.37,0.75,0.04,10,0.3238733440525412
2,1,60,22,0.4,0.52,7.6,0.47,0.9,0.51,10,0.3609608602708621
3,1,190,27,0.61,0.61,8.1,0.6,0.04,0.55,10,0.3666173758827115
4,1,260,27,0.55,0.55,7.7,0.34,0.05,0.97,10,0.3843945422458424
5,1,590,27,0.61,0.5700000000000001,8.5,0.3,0.08,0.26,10,0.4008636208283713
6,2,10,11,0.46,0.97,9.3,0.97,0.38,0.97,10,0.1484558427449355
7,2,30,5,0.86,0.93,6.2,0.0,0.6,0.14,10,0.1611145905932302
8,2,40,8,1.0,0.3,6.2,0.78,0.41,0.09,10,0.2338527291456095
9,2,50,19,0.0,0.71,9.3,0.8300000000000001,0.67,0.52,10,0.3531438471577052
10,2,320,15,0.9,0.51,5.0,0.65,0.55,0.8,10,0.3608632033829934
11,2,340,9,0.55,0.66,7.4,0.76,0.18,0.84,10,0.370374498384193
12,2,450,21,0.35,0.7000000000000001,7.5,0.63,0.04,0.95,10,0.3758244319387614
13,2,500,22,0.58,0.54,6.4,0.96,0.52,0.59,10,0.4039177540419725
14,3,10,14,0.78,0.71,9.3,0.37,0.74,0.81,10,0.3128201540822292
15,3,70,17,0.75,0.59,6.5,0.04,0.04,0.92,10,0.3584578016293068
16,3,180,18,0.62,0.5,8.0,0.71,0.79,0.81,10,0.3650882520492163
17,3,230,21,0.41,0.56,7.800000000000001,0.33,0.3,0.28,10,0.3897635631405786
18,3,800,18,0.3,0.6,9.3,0.43,0.5,0.9,10,0.4000027294973951
19,3,1100,23,0.67,0.64,7.300000000000001,1.0,0.38,0.01,10,0.4050700323030273
20,4,10,5,0.81,0.6,8.9,0.47,0.86,0.85,10,0.3928704550824664
21,4,820,5,0.8,0.63,8.9,0.47,0.86,0.85,10,0.403652348710776
22,5,10,14,0.33,0.95,8.1,0.38,0.11,0.64,10,0.1422861947478103
23,5,20,12,0.89,0.8300000000000001,8.5,0.6900000000000001,0.19,0.2,10,0.2793707740396515
24,5,40,21,0.55,0.74,9.3,0.97,0.59,0.31,10,0.3276778476026147
25,5,70,5,0.51,0.56,7.7,0.23,0.56,0.6900000000000001,10,0.3968279866214081
26,5,230,9,0.81,0.63,8.4,0.31,0.07,0.96,10,0.3979186490508287
27,6,10,14,0.97,0.49,9.8,0.25,0.93,0.97,10,0.3552638879183946
28,6,40,23,0.32,0.56,9.8,0.7000000000000001,0.5700000000000001,0.96,10,0.3558955958174954
29,6,200,18,0.68,0.55,9.3,0.27,0.42,0.86,10,0.3847912533138821
30,6,230,9,0.79,0.52,6.4,0.63,0.71,0.35,10,0.3985757764212856
31,6,630,23,0.67,0.61,6.0,0.23,0.86,0.5,10,0.4056102232871442
32,7,10,14,0.78,0.35,6.2,0.8200000000000001,0.92,0.14,10,0.2999231618206902
33,7,40,30,0.28,0.39,8.1,0.45,0.3,0.92,10,0.3023622362234281
34,7,70,18,0.98,0.64,9.3,0.23,0.16,0.8300000000000001,10,0.3490390745288697
35,7,100,14,0.55,0.67,7.4,0.87,0.71,0.03,10,0.3579034873958953
36,7,170,9,0.47,0.6,10.0,0.07,0.41,0.22,10,0.3707328234376577
37,7,250,8,0.33,0.6,5.9,0.97,0.23,0.96,10,0.3852099118249545
38,7,430,13,0.56,0.58,8.2,0.76,0.52,0.09,10,0.407793660280868
39,8,10,21,0.52,0.32,5.9,0.31,0.33,0.24,10,0.2545834403568096
40,8,20,24,0.43,0.41,5.8,0.34,0.89,0.65,10,0.2718185182102109
41,8,60,19,0.1,0.74,6.6,0.34,0.42,0.64,10,0.3143384914475709
42,8,100,9,0.12,0.67,8.6,0.42,0.19,0.9,10,0.3712878923149537
43,8,160,9,0.67,0.5,9.3,0.09,0.37,0.97,10,0.3786397517294929
44,8,310,5,0.71,0.54,9.2,0.32,0.89,0.99,10,0.3905063098936318
45,8,430,18,0.3,0.64,9.7,0.06,0.5700000000000001,0.9,10,0.3917318094139687
46,8,630,22,0.61,0.51,9.6,0.09,0.37,0.97,10,0.3995014763449224
47,8,1200,22,0.3,0.6,9.7,0.75,0.7000000000000001,0.9,10,0.4021686321695371
48,9,10,22,0.53,0.5700000000000001,5.5,0.79,0.99,0.08,10,0.3761877729415803
49,9,100,6,0.27,0.56,7.300000000000001,0.8,0.01,0.64,10,0.3880899925544152
50,9,560,27,0.01,0.55,7.7,0.97,0.28,0.08,10,0.3927683825332027
51,10,10,26,0.96,0.47,7.6,0.56,0.3,0.54,10,0.3158197977581823
52,10,30,19,0.77,0.49,10.0,0.15,0.4,0.33,10,0.3589827574353614
53,10,60,25,1.0,0.67,5.1,0.34,0.67,0.84,10,0.3895983972497339
54,10,350,25,0.35,0.55,9.6,0.15,0.0,0.5700000000000001,10,0.3941145765589008
55,10,930,27,0.55,0.58,7.1,0.02,0.02,0.27,10,0.3957892762853487
56,10,1060,27,0.64,0.5700000000000001,6.3,0.22,0.38,0.53,10,0.4033789387920898
