,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,num-replicates,best-fitness-so-far
0,1,1370,22,0.4,0.52,7.6,0.47,0.9,0.51,10,0.3609608602708621
1,2,1460,22,0.58,0.54,6.4,0.96,0.52,0.59,10,0.4039177540419725
2,3,1410,21,0.41,0.56,7.800000000000001,0.33,0.3,0.28,10,0.3897635631405786
3,4,1370,5,0.81,0.6,8.9,0.47,0.86,0.85,10,0.3928704550824664
4,5,1410,9,0.81,0.63,8.4,0.31,0.07,0.96,10,0.3979186490508287
5,6,1440,23,0.67,0.61,6.0,0.23,0.86,0.5,10,0.4056102232871442
6,7,1460,14,0.55,0.67,7.4,0.87,0.71,0.03,10,0.3579034873958953
7,8,1420,18,0.3,0.64,9.7,0.06,0.5700000000000001,0.9,10,0.3917318094139687
8,9,1390,22,0.53,0.5700000000000001,5.5,0.79,0.99,0.08,10,0.3761877729415803
9,10,1350,27,0.55,0.58,7.1,0.02,0.02,0.27,10,0.3957892762853487
