,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
0,1,10,17,0.6900000000000001,0.8200000000000001,6.7,0.68,0.15,0.1,0.2631691920841527,10,0.2631691920841527
1,1,20,11,0.49,0.76,7.1,0.37,0.75,0.04,0.3238733440525412,10,0.3238733440525412
2,1,30,9,0.2,0.5,5.7,0.11,0.04,0.71,0.3036938652122079,10,0.3238733440525412
3,1,40,19,0.64,0.09,6.3,0.2,0.33,0.9,0.0895177034796086,10,0.3238733440525412
4,1,50,5,0.3,0.27,6.0,0.76,0.39,0.64,0.1936090341909761,10,0.3238733440525412
5,1,60,22,0.4,0.52,7.6,0.47,0.9,0.51,0.3609608602708621,10,0.3609608602708621
6,1,70,8,0.99,0.34,7.800000000000001,0.68,0.14,0.94,0.2301677611299455,10,0.3609608602708621
7,1,80,5,0.91,0.11,6.2,0.4,0.97,0.23,0.0800871996271572,10,0.3609608602708621
8,1,90,30,0.37,0.66,6.1,0.2,0.07,0.26,0.3102510043236366,10,0.3609608602708621
9,1,100,18,0.81,0.06,7.0,0.38,0.19,0.92,0.0678261141956706,10,0.3609608602708621
10,1,110,14,0.64,0.86,8.9,0.45,0.3,0.8200000000000001,0.23759244808739,10,0.3609608602708621
11,1,120,7,0.59,0.37,10.0,0.22,0.47,0.07,0.2751929097786673,10,0.3609608602708621
12,1,130,23,0.13,0.39,8.6,0.43,0.44,0.08,0.271435937632783,10,0.3609608602708621
13,1,140,27,0.45,0.77,7.4,0.64,0.07,0.3,0.3308330642738685,10,0.3609608602708621
14,1,150,10,0.96,0.0,5.3,0.04,0.24,0.84,0.0489116813396347,10,0.3609608602708621
15,1,160,9,0.54,0.36,9.5,0.34,0.16,0.99,0.273599410331328,10,0.3609608602708621
16,1,170,20,0.3,0.2,9.4,0.0,0.3,0.8300000000000001,0.1462405052678075,10,0.3609608602708621
17,1,180,14,0.92,0.35,5.7,0.6900000000000001,0.93,0.23,0.249085900938688,10,0.3609608602708621
18,1,190,27,0.61,0.61,8.1,0.6,0.04,0.55,0.3666173758827115,10,0.3666173758827115
19,1,200,13,0.9,0.06,7.800000000000001,0.49,0.45,0.52,0.0645322171729471,10,0.3666173758827115
20,1,210,23,0.59,0.95,7.4,0.89,0.96,0.75,0.1491073656929803,10,0.3666173758827115
21,1,220,9,0.24,0.95,6.2,0.05,0.94,0.11,0.1498604146202171,10,0.3666173758827115
22,1,230,5,0.79,0.22,7.6,0.8,0.79,0.53,0.1855948277167444,10,0.3666173758827115
23,1,240,9,0.8,0.94,8.8,0.9,0.2,0.56,0.1656817065446898,10,0.3666173758827115
24,1,250,11,0.65,0.52,9.3,0.84,0.64,0.47,0.3555329625117354,10,0.3666173758827115
25,1,260,27,0.55,0.55,7.7,0.34,0.05,0.97,0.3843945422458424,10,0.3843945422458424
