,Coefficient,P-value
initialExperience*nonHSPercent,2.75825987722609,0.0
nonHSPercent,-2.4957992683577497,0.0
const,1.826631267279562,0.0
initialExperience,-1.5584130762662045,0.0
carePatchMean*initialExperience,0.37450175431747945,0.0
careFarmMean*initialExperience,-0.16577226780835308,2.8090936618023396e-110
carePatchMean,-0.15331425975820823,2.302612463235595e-99
careFarmMean,0.07060524541921669,1.566091894215431e-22
careFarmMean*careLandscapeMean,0.05045689599289241,3.879634045907942e-42
careLandscapeMean,-0.04247003826577202,4.372798486126874e-09
initialExperience*memory,-0.039185741022721536,5.393809779311116e-06
carePatchMean*memory,-0.03645988793083122,3.3292856192299766e-17
carePatchMean*trustIndexMean,0.03576200154305256,4.1474566230394653e-22
nonHSPercent*trustIndexMean,0.02895239029682802,6.112419161983547e-15
careFarmMean*trustIndexMean,-0.027504582076520935,1.1519832062154237e-13
careFarmMean*carePatchMean,-0.02554595143986233,5.802231557715254e-12
memory*nonHSPercent,0.019792604239379265,4.5995064066469234e-06
careFarmMean*nonHSPercent,-0.019448511919730502,1.759617718898675e-07
careLandscapeMean*initialExperience,-0.018846074172072274,0.011040547743929235
memory,0.01832924584277493,0.02481079904708455
initialExperience*trustIndexMean,-0.01740177007678903,0.018827004645849667
careLandscapeMean*trustIndexMean,-0.014770980051298557,6.992179607607764e-05
careLandscapeMean*memory,0.012278140134029954,0.004519319367017682
