,Coefficient,P-value
initialExperience*nonHSPercent,-0.7525070511810508,0.0
initialExperience,0.6804402460663888,0.0
nonHSPercent,0.6529039391538127,0.0
const,0.1559461992326585,0.0
trustIndexMean,0.07901256515609563,2.3535135293028788e-122
initialExperience*trustIndexMean,-0.07546266891061075,5.403691184168056e-106
careFarmMean,0.04384947973419212,9.002207193378862e-39
careFarmMean*nonHSPercent,0.025018613648379935,3.5669907336658094e-47
careFarmMean*careLandscapeMean,-0.02300762968231513,1.821516342273662e-40
careLandscapeMean*nonHSPercent,0.021242837399160993,1.841109686396627e-34
careLandscapeMean,0.02103248710122393,4.340101751283123e-10
careLandscapeMean*initialExperience,-0.020132937050884314,5.561837842168693e-09
carePatchMean*nonHSPercent,-0.019620961777809483,6.335653745211602e-30
careFarmMean*initialExperience,-0.016753538043482983,1.2793934046343703e-06
careFarmMean*carePatchMean,-0.015855624339107293,4.5289439886218243e-20
nonHSPercent*trustIndexMean,0.015352801389650826,6.515417304952731e-19
carePatchMean,-0.014622589535064009,1.4643317473178733e-05
carePatchMean*initialExperience,-0.013255100444105102,0.00012085188540841442
initialExperience*memory,-0.008131632664014657,0.04267586842815813
carePatchMean*memory,-0.007436240614280307,0.00022092236674820559
carePatchMean*trustIndexMean,-0.006198499879715178,0.00032066614979967423
careLandscapeMean*memory,0.004991326965423265,0.013194182864530498
careLandscapeMean*trustIndexMean,0.003301370899695919,0.056342428641397616
