,Coefficient,P-value
initialExperience*nonHSPercent,-0.3732732419953797,0.0
nonHSPercent,0.3253243107679891,0.0
const,0.22570211631373902,1.2936167910620186e-198
careLandscapeMean,0.0878722518749186,1.26099890902486e-44
careLandscapeMean*initialExperience,-0.07980580705749066,2.0359567325916054e-35
carePatchMean*nonHSPercent,-0.07868313044078265,1.916674681031789e-132
carePatchMean,-0.0696897978904194,1.225785022164523e-28
careFarmMean,0.06914805242505478,2.4674316159455733e-28
careLandscapeMean*nonHSPercent,0.06558727130088732,9.467636324650088e-92
carePatchMean*initialExperience,0.05446613249194113,2.050908140831475e-17
careFarmMean*initialExperience,-0.05073275985025633,3.2037573532276886e-15
careFarmMean*nonHSPercent,0.041008304060010714,5.198483580768871e-37
careLandscapeMean*carePatchMean,-0.040285659625973934,6.483407742571773e-36
initialExperience,0.03649527455013783,2.6852745389107076e-05
careFarmMean*careLandscapeMean,-0.025143851656569814,5.128393600345639e-15
initialExperience*trustIndexMean,-0.021315978552129175,0.0008975242548365331
initialExperience*memory,-0.02036687674199149,0.006357362652582552
careFarmMean*carePatchMean,-0.014325685613257533,8.356367390073358e-06
memory,0.013710886141029582,0.05266753392491137
trustIndexMean,0.0126209913168454,0.04335751885878168
careFarmMean*trustIndexMean,0.006758137193111267,0.035301440826149076
