,Coefficient,P-value
initialExperience*nonHSPercent,-0.8565874320874424,0.0
initialExperience,0.8265891663417662,0.0
nonHSPercent,0.7414735373335712,0.0
trustIndexMean,0.09297242816284655,6.927387167689991e-208
initialExperience*trustIndexMean,-0.08381369413824577,1.5313633172558712e-160
const,0.07687363325347064,1.2564812313280494e-99
careFarmMean,0.05902444956045878,1.372269761800821e-84
carePatchMean,-0.04718648803908666,1.6500131169930996e-54
careLandscapeMean,0.04531807591697018,1.5529799870954511e-50
careFarmMean*careLandscapeMean,-0.03295745604286593,8.124332484690453e-100
careLandscapeMean*initialExperience,-0.030060647555018458,3.780524746907458e-22
nonHSPercent*trustIndexMean,0.020835868429420888,5.841735227396367e-41
careFarmMean*initialExperience,-0.015322108873991973,8.463045754891413e-07
careFarmMean*carePatchMean,-0.014216896594596674,5.893389460141135e-20
carePatchMean*nonHSPercent,0.013895988355063591,3.6152160004213616e-19
careFarmMean*nonHSPercent,0.012257109749383887,3.896805868676144e-15
careLandscapeMean*carePatchMean,0.010819526023384582,3.639314534203987e-12
carePatchMean*initialExperience,-0.010031513340439018,0.0012174151028016493
carePatchMean*memory,-0.008984223798145017,6.988045273122507e-07
carePatchMean*trustIndexMean,-0.007821253020204073,4.4752318340819135e-07
memory,-0.006896125934891826,0.043819667188548045
careLandscapeMean*memory,0.005990931380283832,0.0009414579372101923
