,Coefficient,P-value
initialExperience*nonHSPercent,-2.7582598772260902,0.0
nonHSPercent,2.4957992683577506,0.0
initialExperience,1.558413076266206,0.0
const,-0.8266312672795645,0.0
carePatchMean*initialExperience,-0.3745017543174799,0.0
careFarmMean*initialExperience,0.1657722678083544,2.8090936617912985e-110
carePatchMean,0.15331425975820873,2.3026124632321843e-99
careFarmMean,-0.0706052454192159,1.5660918942170945e-22
careFarmMean*careLandscapeMean,-0.05045689599289255,3.879634045906112e-42
careLandscapeMean,0.04247003826577209,4.372798486126588e-09
initialExperience*memory,0.03918574102271913,5.393809779318271e-06
carePatchMean*memory,0.03645988793083131,3.3292856192293535e-17
carePatchMean*trustIndexMean,-0.03576200154305322,4.1474566230321993e-22
nonHSPercent*trustIndexMean,-0.028952390296829125,6.112419161969075e-15
careFarmMean*trustIndexMean,0.02750458207652054,1.1519832062163525e-13
careFarmMean*carePatchMean,0.02554595143986144,5.802231557725035e-12
memory*nonHSPercent,-0.019792604239379914,4.599506406643621e-06
careFarmMean*nonHSPercent,0.01944851191972994,1.759617718900107e-07
careLandscapeMean*initialExperience,0.018846074172072312,0.011040547743929072
memory,-0.018329245842773078,0.02481079904709911
initialExperience*trustIndexMean,0.017401770076789214,0.018827004645848397
careLandscapeMean*trustIndexMean,0.01477098005129867,6.99217960760686e-05
careLandscapeMean*memory,-0.012278140134029673,0.004519319367018608
