,Coefficient,P-value
"initialExperience*memory, HS Patches",-0.044238551053616695,3.0776383762340364e-07
"initialExperience*memory, HS Strategy",-0.039185741022721536,5.393809779311116e-06
"initialExperience*memory, Non-HS Strategy",0.03918574102271913,5.393809779318271e-06
"carePatchMean*memory, Non-HS Strategy",0.03645988793083131,3.3292856192293535e-17
"carePatchMean*memory, HS Strategy",-0.03645988793083122,3.3292856192299766e-17
"initialExperience*memory, Production Benefit Per NCH Patch",0.02949272846320846,5.989445738316213e-07
"carePatchMean*memory, HS Patches",-0.027546253131251794,2.1300437305725256e-10
"initialExperience*memory, NCH Patches",-0.02036687674199149,0.006357362652582552
"memory*nonHSPercent, Non-HS Strategy",-0.019792604239379914,4.599506406643621e-06
"memory*nonHSPercent, HS Strategy",0.019792604239379265,4.5995064066469234e-06
"initialExperience*memory, Income Deviation",0.018761077809919192,4.269436490654335e-05
"memory, HS Strategy",0.01832924584277493,0.02481079904708455
"memory, Non-HS Strategy",-0.018329245842773078,0.02481079904709911
"memory, HS Patches",0.018026305536643555,0.027804346727589267
"carePatchMean*memory, Production Benefit Per NCH Patch",0.016357588569499766,3.445596144898454e-08
"memory, NCH Patches",0.013710886141029582,0.05266753392491137
"memory*nonHSPercent, Production Benefit Per NCH Patch",-0.013568881866798728,4.64875139047775e-06
"careLandscapeMean*memory, HS Strategy",0.012278140134029954,0.004519319367017682
"careLandscapeMean*memory, Non-HS Strategy",-0.012278140134029673,0.004519319367018608
"memory*nonHSPercent, HS Patches",0.0117798643157077,0.006561402839504655
"careLandscapeMean*memory, HS Patches",0.011276741674371829,0.009340281712750448
"memory, Income Deviation",-0.009722506071870397,0.02528632544958457
"carePatchMean*memory, Net Production Per Patch",-0.008984223798145017,6.988045273122507e-07
"memory*trustIndexMean, HS Patches",-0.008812394835741673,0.04185860296914812
"memory*trustIndexMean, Income Deviation",0.008312936493727966,0.00029590682552274903
"memory*nonHSPercent, Income Deviation",-0.008174518352261984,0.000376254932193991
"initialExperience*memory, Income Per Patch",-0.008131632664014657,0.04267586842815813
"careLandscapeMean*memory, Production Benefit Per NCH Patch",-0.008014968448170864,0.006884115841306242
"carePatchMean*memory, Income Per Patch",-0.007436240614280307,0.00022092236674820559
"memory, Net Production Per Patch",-0.006896125934891826,0.043819667188548045
"careLandscapeMean*memory, Net Production Per Patch",0.005990931380283832,0.0009414579372101923
"careLandscapeMean*memory, Income Per Patch",0.004991326965423265,0.013194182864530498
